"RG","TG","COEF","RE"
"TUBB6_IFITM1","TUBB6","IFITM1",-6.32734533961603e-05,0.000314674527206705
"PHGDH_LY6K","PHGDH","LY6K",0.00410299196342831,0.0231090527642789
"CDKN1A_ISG15","CDKN1A","ISG15",0.124224154488751,0.66175709511538
"TBX3_ALDH2","TBX3","ALDH2",0.143317018912851,0.473430051703559
"MYC_UPK3B","MYC","UPK3B",-0.0211269988973293,0.140157982944342
"SRPX2_TCF7","SRPX2","TCF7",-0.105087070901916,0.144235431389652
"CST3_PRTFDC1","CST3","PRTFDC1",-0.309483163453271,2.31272349649728
"ABCC3_ATP1B1","ABCC3","ATP1B1",0.115563991724725,0.515390666002815
"PXDN_MLLT11","PXDN","MLLT11",6.74530704492698e-05,4.38792348343294e-05
"SLFN11_GNG11","SLFN11","GNG11",-0.0154762650763975,0.0224350498868618
"PIK3R1_SH2D3A","PIK3R1","SH2D3A",-0.0728099079051669,0.253444484768674
"CSNK1A1L_CAV2","CSNK1A1L","CAV2",-0.248115828828991,0.00636195657448322
"IFITM2_CXCR4","IFITM2","CXCR4",0.0160838083300406,0.0809917164910663
"IL1B_RPS6KB1","IL1B","RPS6KB1",-0.0087089998338739,0.00978625939041549
"C12orf75_TFF3","C12orf75","TFF3",0.0727868152152123,0.417747596644973
"CA12_MUC13","CA12","MUC13",0.114241393152109,0.180773956581832
"CD109_CXCL16","CD109","CXCL16",-0.00106364597201337,0.00208335875918081
"MLH1_UPK3B","MLH1","UPK3B",0.0637923785521056,0.273332882237311
"GSTM2_SNCG","GSTM2","SNCG",-0.00316249560376788,0.0052858416851105
"DAB2_WNT6","DAB2","WNT6",0.0177673666224025,0.0360044230127952
"FOS_FGF8","FOS","FGF8",-0.0149760356851483,0.0994122537889037
"HOXC10_WNT7B","HOXC10","WNT7B",0.02270921351595,0.0797659436533438
"MAGEA4_ITGBL1","MAGEA4","ITGBL1",0.108149393838829,0.171005747221137
"SEMA3B_ARMCX2","SEMA3B","ARMCX2",-0.000414009896148613,0.00166722856627686
"MLLT11_TNFRSF21","MLLT11","TNFRSF21",-0.00575161310565862,0.0113321497080548
"NFATC4_TCF4","NFATC4","TCF4",-0.0697820001146616,0.118845774523645
"SQOR_TGFA","SQOR","TGFA",0.253187648128914,1.02478112602564
"CADM1_PRSS3","CADM1","PRSS3",-0.213223168996213,0.433581051367852
"TMEM30B_BATF","TMEM30B","BATF",0.0638512239510668,0.205173502589508
"BCL2_CADM1","BCL2","CADM1",-0.0516950505606951,0.0636882304275424
"MFAP5_VEGFC","MFAP5","VEGFC",-0.0342242390845413,0.0412771849493535
"MEST_HEG1","MEST","HEG1",0.0811188854410012,0.350633958746549
"TNFRSF11B_GLUL","TNFRSF11B","GLUL",0.0857272968950812,0.179582696953903
"SHH_AKR1B10","SHH","AKR1B10",0.0306045232430987,0.0376158498487281
"CDH2_FGF5","CDH2","FGF5",0.0457959546833114,0.0652454991139764
"LAPTM4B_E2F3","LAPTM4B","E2F3",0.173836102521529,1.10828382862253
"CTNNB1_EREG","CTNNB1","EREG",-0.0577959023817769,0.425878392057912
"CCL5_GATA3","CCL5","GATA3",0.0135045508034144,0.012008538842947
"LYPD3_SLPI","LYPD3","SLPI",0.138828998716373,0.325494883766208
