"RG","TG","COEF","RE"
"LGALS9_FXYD6","LGALS9","FXYD6",0.00716694905672823,0.00911923226524406
"TWIST1_SNAI2","TWIST1","SNAI2",0.0525732565367542,0.193373310251413
"PFN2_TMSB15A","PFN2","TMSB15A",0.0259467891793927,0.199429950690309
"HLA.DPA1_TSPAN15","HLA.DPA1","TSPAN15",-0.0683964850784137,0.11293565207023
"CTSZ_CSAG3","CTSZ","CSAG3",-0.00313550657964873,0.0243356158936991
"POPDC3_PDLIM4","POPDC3","PDLIM4",0.0651966428787459,0.229336021363759
"NT5E_LAMC2","NT5E","LAMC2",-0.00266742170191742,0.0209157339381332
"S100A6_SHH","S100A6","SHH",-0.00523776122043173,0.0665486416327787
"GADD45G_NBL1","GADD45G","NBL1",0.0165509393219924,0.0105156451555207
"LY6K_FERMT3","LY6K","FERMT3",0.0674081067095651,0.198415434068084
"TNFRSF21_COL11A1","TNFRSF21","COL11A1",-0.00026257119242547,0.000815002351681248
"TMEM98_LLGL2","TMEM98","LLGL2",-0.0327167490556913,0.199884914711531
"COL8A1_LOXL4","COL8A1","LOXL4",0.00133527460977239,0.00939632104252351
"KRAS_COL4A1","KRAS","COL4A1",0.00905082151970293,0.0354190333845622
"GJA1_KRT7","GJA1","KRT7",-0.314032979677553,2.21158813549828
"IRF4_HOXB2","IRF4","HOXB2",0.00176734879657303,0.00023560984952611
"ID3_ADGRF1","ID3","ADGRF1",-0.0237213422907768,0.179470672409103
"GADD45G_CLDN1","GADD45G","CLDN1",-0.0339920354700023,0.0215968517654737
"YAP1_FZD8","YAP1","FZD8",0.0249543108613851,0.154658107935865
"PSMB9_EPHA2","PSMB9","EPHA2",-0.017595169295588,0.0752108174864741
"GLUL_ASS1","GLUL","ASS1",0.0543380823740853,0.363259708148208
"WNT10B_OCIAD2","WNT10B","OCIAD2",0.00951504323371543,0.00492514135274845
"CYP24A1_PTPRCAP","CYP24A1","PTPRCAP",0.0604612544945014,0.0237259706021388
"PRAME_MSLN","PRAME","MSLN",0.0837903096738436,0.0221629295126156
"PRAME_TRO","PRAME","TRO",0.0216586860543437,0.00572882394428164
"SEMA3B_EPHA2","SEMA3B","EPHA2",0.00612001762543114,0.0220234986499432
"HLA.DRB5_LOXL1","HLA.DRB5","LOXL1",0.0132497421290508,0.0035721456659221
"FBXO2_TSPAN13","FBXO2","TSPAN13",0.00449436964017565,0.00465874226072948
"CDH17_KYNU","CDH17","KYNU",0.00593916984425456,0.00062842555870012
"S100A16_QPRT","S100A16","QPRT",-0.00932427475313214,0.0757085514870509
"FGF20_AC004556.3","FGF20","AC004556.3",0.0639313307446071,0.00635021835203147
"SEMA3B_TUSC3","SEMA3B","TUSC3",-0.022840608808402,0.0821942268867705
"TFF3_IL2RG","TFF3","IL2RG",0.0247241327680185,0.0042147077228187
"ITGA5_IRF4","ITGA5","IRF4",0.00690474182168422,0.0555299616673728
"EVA1A_SAA2","EVA1A","SAA2",-0.163135660951448,0.952531729321593
"EREG_LIMCH1","EREG","LIMCH1",-0.435085635029877,0.857697734468037
"PEG10_PLBD1","PEG10","PLBD1",-0.00278513659233599,0.0126049505973804
"WNT5A_WFDC2","WNT5A","WFDC2",-0.00776986263712934,0.0405878720040028
"ITGA4_MT1G","ITGA4","MT1G",0.00842064201653282,0.0328823565204597
"GPRC5B_PROCR","GPRC5B","PROCR",0.0156954125999747,0.0344453143995939
"LDHB_PRSS22","LDHB","PRSS22",-0.000408594420867571,0.00372271563495982
"HLA.DMA_FABP5","HLA.DMA","FABP5",-0.0597776397191079,0.147370027322611
"GAS6_SRPX2","GAS6","SRPX2",0.0185826809114888,0.162032746054554
"PDLIM4_ABLIM3","PDLIM4","ABLIM3",0.0063079926176071,0.0340083663192262
"ATP2A3_GADD45B","ATP2A3","GADD45B",0.0248363718041895,0.019317792839982
"STC2_COL4A2","STC2","COL4A2",0.059717648640451,0.48986555584412
"PLPP2_BRAF","PLPP2","BRAF",-0.0473423924213845,0.127105799484294
"ADGRG1_RPS6KB2","ADGRG1","RPS6KB2",0.0245750674781565,0.0695954064049365
"TNFRSF12A_WNT2B","TNFRSF12A","WNT2B",0.00229163804234906,0.0197109466295063
"MSLN_FAM114A1","MSLN","FAM114A1",-0.00903273814906976,0.00641286240943191
"IFITM2_MAGEA4","IFITM2","MAGEA4",-0.00653266847450012,0.0541934198573717
"GSK3B_NCKAP1L","GSK3B","NCKAP1L",-0.0033599683891587,0.0170076128172806
